name,smiles,oxygen,hydrogen,ocratio,hcratio
IC3H7NO3,CC(C)ON(=O)=O,1.0,7.0,0.125,0.875
NDNMXYLOOH,OOC1(O)C(=C(N(=O)=O)C2(OOC1(C)C2ON(=O)=O)N(=O)=O)C,5.0,7.0,0.4166666666666667,0.5833333333333334
INCNCO3H,OOC(=O)C(ON(=O)=O)C(C)(O)CON(=O)=O,5.0,6.0,0.45454545454545453,0.5454545454545454
C7MCO3OHO,O=CC(=O)C(O)C([O])C(=O)C(C)C,5.0,10.0,0.3333333333333333,0.6666666666666666
T123CTCOOA,[O-][O+]=C(O)C(=C(C)C(=CC(=O)O)C)C,4.0,10.0,0.2857142857142857,0.7142857142857143
TM123MUCOH,OC(C(=O)C)C(O)C1OC1(C)C(=O)C,6.0,12.0,0.3333333333333333,0.6666666666666666
C5NO3O4OOH,OOC(C)C(=O)C(C)ON(=O)=O,3.0,8.0,0.2727272727272727,0.7272727272727273
BCSOZO,OCC1([O])CCC2OOC(C)(CCC3C1CC3(C)C)O2,6.0,24.0,0.2,0.8
H2C3OCOOH,OOCOCC(C)O,4.0,8.0,0.3333333333333333,0.6666666666666666
HEX3ONCO,CCCC(=O)C(C)[O],2.0,11.0,0.15384615384615385,0.8461538461538461
C615O,O=CC([O])C(C)(C)C=O,3.0,9.0,0.25,0.75
CO356C10,CCCCC(=O)C(=O)CC(=O)CC,3.0,16.0,0.15789473684210525,0.8421052631578947
CO356C11,CCCCCC(=O)C(=O)CC(=O)CC,3.0,18.0,0.14285714285714285,0.8571428571428571
CO356C12,CCCCCCC(=O)C(=O)CC(=O)CC,3.0,20.0,0.13043478260869565,0.8695652173913043
TDICLETH,Cl/C=C/Cl,0.0,2.0,0.0,1.0
MC6OTRIKET,CC(OC(=O)C(=O)C)C(=O)C,5.0,10.0,0.3333333333333333,0.6666666666666666
CHOMOHPAN,O=CC(C)(O)C(=O)OON(=O)=O,4.0,4.0,0.5,0.5
CLCOCCL2O2,[O]OC(Cl)(Cl)C(=O)Cl,2.0,0.0,1.0,0.0
EGLYOOD,[O-][O+]=CC(=O)CC,2.0,6.0,0.25,0.75
BCALCOOH,OOC(C=O)CC(=C)C1CC(C)(C)C1CCC(=O)C,3.0,23.0,0.11538461538461539,0.8846153846153846
C6NO3CO5O,CC([O])CC(=O)C(C)ON(=O)=O,3.0,10.0,0.23076923076923078,0.7692307692307693
METLMUCO2H,CC1(OC1C=CC(=O)CC)C(=O)O,5.0,11.0,0.3125,0.6875
BCALBO2,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)CO[O],3.0,23.0,0.11538461538461539,0.8846153846153846
HOCO3C4OOH,OCCC(=O)COO,3.0,6.0,0.3333333333333333,0.6666666666666666
C92O,CCCCC(O)CC(=O)C(C)[O],3.0,16.0,0.15789473684210525,0.8421052631578947
MVKOHAOH,OCC(=O)C(O)CO,4.0,5.0,0.4444444444444444,0.5555555555555556
C7CO2OCO3H,OOC(=O)C(=CC(=O)C(O)C(=O)C)C,5.0,8.0,0.38461538461538464,0.6153846153846154
C4M2ALOHNO3,O=CC(O)C(C)(C=O)ON(=O)=O,4.0,6.0,0.4,0.6
C732PAN,OC(=O)CCC(CC(=O)OO[N+](=O)[O-])C(=O)C,5.0,10.0,0.3333333333333333,0.6666666666666666
CO2C4GLYOX,O=CC(=O)CCC(=O)C,3.0,8.0,0.2727272727272727,0.7272727272727273
DIEK,CCC(=O)CC,1.0,10.0,0.09090909090909091,0.9090909090909091
BCALBOH,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)CO,3.0,23.0,0.11538461538461539,0.8846153846153846
ETBECOOH,OOCCOC(C)(C)C,3.0,13.0,0.1875,0.8125
BCALBOC,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)OC,4.0,24.0,0.14285714285714285,0.8571428571428571
TM135BP2OH,CC1=CC2(C)OOC(C)(C1O)C2O,4.0,12.0,0.25,0.75
MXYOHNO2O,O=N(=O)C12OOC(C)(C=C(C)C2([O])O)C1O,5.0,8.0,0.38461538461538464,0.6153846153846154
INANCO3,[O]OC(=O)C(C)(ON(=O)=O)C(O)CON(=O)=O,5.0,6.0,0.45454545454545453,0.5454545454545454
C106OH,O=CCC(=O)CC(C(=O)C)C(C)(C)O,4.0,15.0,0.21052631578947367,0.7894736842105263
C813O2,OCC(CC(=O)C(=O)O)C(C)(C)O[O],5.0,11.0,0.3125,0.6875
HPC52CO3H,OOCC(C(C(=O)OO)O)(OO)C,5.0,6.0,0.45454545454545453,0.5454545454545454
MXYMUCCO,O=CC1(C)OC1C(O)C(=O)C(=O)C,6.0,9.0,0.4,0.6
CO25C73O,CCC(=O)CC([O])C(=O)C,3.0,11.0,0.21428571428571427,0.7857142857142857
HM2C43CO3,OCC(C)C(C)C(=O)O[O],3.0,10.0,0.23076923076923078,0.7692307692307693
C126CO3,O=CCC1C(CC1(C)C)C(=C)CCC(=O)O[O],3.0,19.0,0.13636363636363635,0.8636363636363636
EIPK,CCC(=O)C(C)C,1.0,12.0,0.07692307692307693,0.9230769230769231
MACR,CC(=C)C=O,1.0,6.0,0.14285714285714285,0.8571428571428571
PRCATC1OOH,CCCc1cccc(O)c1OO,2.0,10.0,0.16666666666666666,0.8333333333333334
MACRNCO3H,OOC(=O)C(C)(CO)ON(=O)=O,4.0,5.0,0.4444444444444444,0.5555555555555556
CCL3CH2OOH,OOCC(Cl)(Cl)Cl,1.0,2.0,0.3333333333333333,0.6666666666666666
NC2OOA,[O-][O+]=CCON(=O)=O,2.0,3.0,0.4,0.6
IBUTOL,OCC(C)C,1.0,9.0,0.1,0.9
NBUACETBO,CCC([O])COC(=O)C,4.0,11.0,0.26666666666666666,0.7333333333333333
BCOOA,O=CCCC(=C)C1CC(C)(C)C1CCC(=[O+][O-])C,2.0,24.0,0.07692307692307693,0.9230769230769231
BCOOB,[O-][O+]=CCCC(=C)C1CC(C)(C)C1CCC(=O)C,2.0,24.0,0.07692307692307693,0.9230769230769231
C106O2,O=CCC(=O)CC(C(=O)C)C(C)(C)O[O],4.0,15.0,0.21052631578947367,0.7894736842105263
CO3C4NO3,CCC(=O)CON(=O)=O,2.0,7.0,0.2222222222222222,0.7777777777777778
CH3CHCLOH,CC(O)Cl,1.0,4.0,0.2,0.8
C617OOH,OOCC(=O)C(C)(C)C=O,3.0,9.0,0.25,0.75
CLCOCLMEO2,CC(Cl)(O[O])C(=O)Cl,2.0,3.0,0.4,0.6
HO1MC5OOH,OCC(C)CC(C)OO,2.0,12.0,0.14285714285714285,0.8571428571428571
HO13C4O,OCCC(O)C[O],3.0,7.0,0.3,0.7
MO2EOLBO2,OCCOCO[O],4.0,6.0,0.4,0.6
IPROPOL,CC(C)O,1.0,7.0,0.125,0.875
C715CO2O,O=CC([O])C=CC(=O)CC,3.0,9.0,0.25,0.75
MET1OOH,CCc1cc(C)ccc1OO,1.0,11.0,0.08333333333333333,0.9166666666666666
M2BUOL2O,CCC(C)([O])CO,2.0,10.0,0.16666666666666666,0.8333333333333334
MEKAOOH,OOCCC(=O)C,2.0,7.0,0.2222222222222222,0.7777777777777778
C1010NO3,O=CCCC(=C)C(=O)CC(C)(C)O[N+](=O)[O-],3.0,15.0,0.16666666666666666,0.8333333333333334
NOPINANO3,O=N(=O)OC1CC(=O)C2CC1C2(C)C,2.0,13.0,0.13333333333333333,0.8666666666666667
HONO,,0.0,0.0,,
MAE,CC1(CO1)C(=O)O,4.0,5.0,0.4444444444444444,0.5555555555555556
C1012NO3,O=CCC(C)(C)C(CCC(=O)C)O[N+](=O)[O-],3.0,17.0,0.15,0.85
HO3C76O,CCC(O)CCC(C)[O],2.0,14.0,0.125,0.875
HOEMPHNO2,CCc1cc(C)c(N(=O)=O)c(O)c1,1.0,10.0,0.09090909090909091,0.9090909090909091
DNCRESOOH,OOC1(O)C(=CC2(OOC1(C)C2O)N(=O)=O)N(=O)=O,5.0,5.0,0.5,0.5
APINBOOH,OOC1CC2CC(C1(C)O)C2(C)C,2.0,16.0,0.1111111111111111,0.8888888888888888
C133OOH,OCCC(=O)C(=O)CC(C)(C)C(OO)CCC(=O)C,5.0,20.0,0.2,0.8
OETLMUCNO3,O=CC(ON(=O)=O)C(O)C1(C)OC1(CC)C=O,6.0,12.0,0.3333333333333333,0.6666666666666666
C42CO3H,OCC(C)C(O)C(=O)OO,4.0,7.0,0.36363636363636365,0.6363636363636364
C2OHOCOOH,OCC(O)C(=O)OO,4.0,3.0,0.5714285714285714,0.42857142857142855
TMBPAN,O=N(=O)OOC(=O)c1cc(C)cc(C)c1,2.0,9.0,0.18181818181818182,0.8181818181818182
C58NO3,O=CC(O)C(C)(CO)ON(=O)=O,4.0,7.0,0.36363636363636365,0.6363636363636364
BCALOOH,O=CCCC(CO)(OO)C1CC(C)(C)C1CCC(=O)C,4.0,24.0,0.14285714285714285,0.8571428571428571
BUT2CO2H,CC(CC)C(=O)O,2.0,9.0,0.18181818181818182,0.8181818181818182
BCALOOA,O=CCCC(=[O+][O-])C1CC(C)(C)C1CCC(=O)C,3.0,22.0,0.12,0.88
C1010O2,O=CCCC(=C)C(=O)CC(C)(C)O[O],3.0,15.0,0.16666666666666666,0.8333333333333334
C126PAN,O=CCC1C(CC1(C)C)C(=C)CCC(=O)OO[N+](=O)[O-],3.0,19.0,0.13636363636363635,0.8636363636363636
C810OOH,O=CCC(CC=O)C(C)(C)OO,3.0,13.0,0.1875,0.8125
C622OH,OCC(CO)C(=C)C,2.0,10.0,0.16666666666666666,0.8333333333333334
C527OOH,OOC(C(OO)(CO)C)C=O,4.0,7.0,0.36363636363636365,0.6363636363636364
CONM2CO3H,OOC(=O)C(C)(C=O)ON(=O)=O,4.0,4.0,0.5,0.5
NC4H9CHOOA,[O-][O+]=CCCCC,1.0,10.0,0.09090909090909091,0.9090909090909091
C3COCCO3H,CCCC(=O)CC(=O)OO,3.0,9.0,0.25,0.75
HOCH2CHO,OCC=O,2.0,3.0,0.4,0.6
C1010OH,O=CCCC(=C)C(=O)CC(C)(C)O,3.0,15.0,0.16666666666666666,0.8333333333333334
HO24C5O2,[O]OCC(O)CC(C)O,3.0,9.0,0.25,0.75
C1H4C5CO2H,O=CCCC(O)CC(=O)O,4.0,8.0,0.3333333333333333,0.6666666666666666
ETHACETO2,CC(OC(=O)C)O[O],4.0,7.0,0.36363636363636365,0.6363636363636364
IEPOXC,CC1(CO1)C(O)CO,4.0,8.0,0.3333333333333333,0.6666666666666666
IEPOXB,OCC1OC1(C)CO,4.0,8.0,0.3333333333333333,0.6666666666666666
IEPOXA,CC(O)(CO)C1CO1,4.0,8.0,0.3333333333333333,0.6666666666666666
APINCOOH,OOC(C)(C)C1CC=C(C)C(O)C1,2.0,16.0,0.1111111111111111,0.8888888888888888
IPRACOOH,OOC(C)(C)OC(=O)C,4.0,9.0,0.3076923076923077,0.6923076923076923
CO2N3CO3,[O]OC(=O)C(ON(=O)=O)C(=O)C,4.0,4.0,0.5,0.5
C713OH,CC(=O)CC(C)(O)C(=O)C,3.0,11.0,0.21428571428571427,0.7857142857142857
C512OH,OCCC(=O)CC=O,3.0,7.0,0.3,0.7
C7M15CO2O,O=CC([O])C=CC(=O)C(C)C,3.0,11.0,0.21428571428571427,0.7857142857142857
IPRACBPAN,O=N(=O)OOC(=O)C(C)OC(=O)C,5.0,7.0,0.4166666666666667,0.5833333333333334
MACO2H,CC(=C)C(=O)O,2.0,5.0,0.2857142857142857,0.7142857142857143
C122O,CCCCCCCC(O)CC(=O)C(C)[O],3.0,22.0,0.12,0.88
NC91CO3,[O]OC(=O)C1(CCC2CC1C2(C)C)ON(=O)=O,3.0,14.0,0.17647058823529413,0.8235294117647058
M2PEBO,CC(C)CC(C)[O],1.0,13.0,0.07142857142857142,0.9285714285714286
CO123C5CHO,O=CCCC(=O)C(=O)C=O,4.0,6.0,0.4,0.6
C730O,OCCC(C=O)C(C)([O])CO,4.0,11.0,0.26666666666666666,0.7333333333333333
HO2C4CO2H,CC(O)CCC(=O)O,3.0,8.0,0.2727272727272727,0.7272727272727273
TMB1FUOOH,OOC1(C)C(C)OC(=O)C1O,5.0,8.0,0.38461538461538464,0.6153846153846154
IPRCHOO,[O-][O+]CC(C)C,1.0,9.0,0.1,0.9
C512CO2H,O=CCC(=O)CCC(=O)O,4.0,7.0,0.36363636363636365,0.6363636363636364
CH2OHCL2O2,OCC(Cl)(Cl)O[O],2.0,2.0,0.5,0.5
CO23C54O,CC([O])C(=O)C(=O)C,3.0,7.0,0.3,0.7
HM2C43NO3,OCC(C)C(C)ON(=O)=O,2.0,10.0,0.16666666666666666,0.8333333333333334
INB1NACHO,O=CC(ON(=O)=O)C(C)(CO)ON(=O)=O,4.0,7.0,0.36363636363636365,0.6363636363636364
M33C4O,CCC(C)(C)C[O],1.0,13.0,0.07142857142857142,0.9285714285714286
ETHACETOH,CC(O)OC(=O)C,4.0,7.0,0.36363636363636365,0.6363636363636364
PRCOOETOH,CCCC(=O)OCCO,4.0,11.0,0.26666666666666666,0.7333333333333333
ISOPANO3,OCC(=CCON(=O)=O)C,2.0,8.0,0.2,0.8
PBZQO2,[O]OC1C(=O)C=CC(=O)C1O,4.0,4.0,0.5,0.5
BOXPROLAO,CCCC([O])OCC(C)O,4.0,14.0,0.2222222222222222,0.7777777777777778
EPXDLPAN,O=CC1OC1C(=O)OON(=O)=O,5.0,3.0,0.625,0.375
C921O,OCC(=O)C1([O])CC(CO)C1(C)C,4.0,13.0,0.23529411764705882,0.7647058823529411
PBNZOHNO2,CCCc1cccc(N(=O)=O)c1O,1.0,10.0,0.09090909090909091,0.9090909090909091
C23O3MCOOH,CC(OC(=O)C(=O)C)OO,5.0,7.0,0.4166666666666667,0.5833333333333334
C923PAN,CC(=O)CCC(CC(=O)OO[N+](=O)[O-])C(=C)C,3.0,15.0,0.16666666666666666,0.8333333333333334
C64OH5O,CCCC(O)C(C)[O],2.0,12.0,0.14285714285714285,0.8571428571428571
C88CO2H,OC(=O)C1C(=O)CCC(=O)C1(C)C,4.0,11.0,0.26666666666666666,0.7333333333333333
CCL3CO3,[O]OC(=O)C(Cl)(Cl)Cl,2.0,0.0,1.0,0.0
C6OTRIKET,CC(=O)COC(=O)C(=O)C,5.0,8.0,0.38461538461538464,0.6153846153846154
C928CO3,[O]OC(=O)CC(C)(C)C(=O)CCC(=O)C,4.0,15.0,0.21052631578947367,0.7894736842105263
HO3C86O,CCC(O)CCC([O])CC,2.0,16.0,0.1111111111111111,0.8888888888888888
HM33C3CO2H,OCCC(C)(C)C(=O)O,3.0,10.0,0.23076923076923078,0.7692307692307693
HO1C6O,OCCCC([O])CC,2.0,12.0,0.14285714285714285,0.8571428571428571
NOXYOL1OOH,OOc1c(ccc(C)c1C)N(=O)=O,1.0,8.0,0.1111111111111111,0.8888888888888888
NPTLQO2,[O]OC1C(=O)C=C(C)C(=O)C1ON(=O)=O,4.0,6.0,0.4,0.6
NC4H9CHOO,[O-][O+]=CCCCC,1.0,10.0,0.09090909090909091,0.9090909090909091
NDEMPHOLO,CCC12OOC(CC)(C2ON(=O)=O)C(O)([O])C(=C1)C,5.0,15.0,0.25,0.75
OXYBIPERO2,[O]OC1(C)C=CC2OOC1(C)C2O,4.0,10.0,0.2857142857142857,0.7142857142857143
NPXYOLOOH,OOC1(O)C=C(C)C2OOC1(C)C2ON(=O)=O,5.0,9.0,0.35714285714285715,0.6428571428571429
PHCOOH,OC(=O)c1ccccc1,2.0,5.0,0.2857142857142857,0.7142857142857143
C112OOH,CCCCCCC(O)CC(=O)C(C)OO,3.0,20.0,0.13043478260869565,0.8695652173913043
C5NO3COAO2,[O]OC(C)CC(=O)CON(=O)=O,3.0,8.0,0.2727272727272727,0.7272727272727273
THEX2ENE,CCC\C=C\C,0.0,12.0,0.0,1.0
C6DCARBBO,CCC(=O)C=CC(=O)[O],3.0,7.0,0.3,0.7
H1C23C4PAN,OCC(=O)C(=O)CC(=O)OON(=O)=O,5.0,4.0,0.5555555555555556,0.4444444444444444
NBUACBNO3,CCC(COC(=O)C)ON(=O)=O,4.0,11.0,0.26666666666666666,0.7333333333333333
IBUTALOH,O=CC(C)(C)O,2.0,7.0,0.2222222222222222,0.7777777777777778
IPBZMUCPAN,O=N(=O)OOC(=O)C1OC1C=CC(=O)C(C)C,5.0,11.0,0.3125,0.6875
CH3CO3H,CC(=O)OO,2.0,3.0,0.4,0.6
PBZQOH,O=C1C=CC(=O)C(O)C1O,4.0,4.0,0.5,0.5
INANO3,OCC(C)(ON(=O)=O)C(O)CON(=O)=O,4.0,8.0,0.3333333333333333,0.6666666666666666
C610OH,OCC(O)C(C)C(=O)C,3.0,10.0,0.23076923076923078,0.7692307692307693
M23C43O,CC(C)C(C)(C)[O],1.0,13.0,0.07142857142857142,0.9285714285714286
DMEBMUCO3,CCC(=O)C=C(C)C1OC1(C)C(=O)O[O],5.0,13.0,0.2777777777777778,0.7222222222222222
DMEBMUCO2,CCC(=O)C(O)C(C)(O[O])C1OC1(C)C=O,6.0,14.0,0.3,0.7
APINBOO,[O-][O+]=CCC1CC(C(=O)C)C1(C)C,2.0,16.0,0.1111111111111111,0.8888888888888888
M2BU2OLOOH,OOC(C)C(C)(C)O,2.0,10.0,0.16666666666666666,0.8333333333333334
CO235C6O2,CC(=O)C(=O)CC(=O)CO[O],4.0,7.0,0.36363636363636365,0.6363636363636364
ETOLOOH,OOC(C)c1ccccc1C,1.0,11.0,0.08333333333333333,0.9166666666666666
IPBENZO,CC(C)c1ccccc1[O],1.0,11.0,0.08333333333333333,0.9166666666666666
PXYMUCCO,O=CC1OC1(C)C(O)C(=O)C(=O)C,6.0,9.0,0.4,0.6
TM135OBPOH,CC1=CC2(C)OOC(C)(C1=O)C2O,4.0,11.0,0.26666666666666666,0.7333333333333333
M2HEXBOOH,CCCCC(C)(C)OO,1.0,15.0,0.0625,0.9375
LMKBCO,CC(=O)C1CCC(C)(O)C(=O)C1,3.0,13.0,0.1875,0.8125
C520O2,OCC(O[O])(C=O)C(=O)C,4.0,6.0,0.4,0.6
APINBO2,[O]OC1CC2CC(C1(C)O)C2(C)C,2.0,16.0,0.1111111111111111,0.8888888888888888
C521O,OCCC(=O)C(=O)C[O],4.0,6.0,0.4,0.6
C7CO2M5O2,[O]OC(C)(C=CC(=O)C)C(=O)C,3.0,11.0,0.21428571428571427,0.7857142857142857
MPRNO3CO2H,O=N(=O)OC(C)(C)C(=O)O,3.0,6.0,0.3333333333333333,0.6666666666666666
C4OHCHO,CCCC(O)C=O,2.0,9.0,0.18181818181818182,0.8181818181818182
C610O2,OCC(O[O])C(C)C(=O)C,3.0,10.0,0.23076923076923078,0.7692307692307693
C141NO3,CC(=O)CCC1C(CC1(C)C)C(=C)CCO[N+](=O)[O-],2.0,23.0,0.08,0.92
T123CATECH,Cc1cc(O)c(O)c(C)c1C,2.0,10.0,0.16666666666666666,0.8333333333333334
PEN2ONE1O,CCCC(=O)C[O],2.0,9.0,0.18181818181818182,0.8181818181818182
APINANO3,O=N(=O)OC1(C)C(O)CC2CC1C2(C)C,2.0,16.0,0.1111111111111111,0.8888888888888888
C515CO,O=CCC(=O)C(=O)C=O,4.0,4.0,0.5,0.5
HMACRO2,OCC(CO)(O[O])C=O,4.0,5.0,0.4444444444444444,0.5555555555555556
IPCATECHOL,Oc1cccc(C(C)C)c1O,2.0,10.0,0.16666666666666666,0.8333333333333334
PRCOFORM,CCCC(=O)OC=O,4.0,8.0,0.3333333333333333,0.6666666666666666
LMLKACO,O=CCC(CC(=O)C(=O)C)C(=O)C,4.0,12.0,0.25,0.75
EBENZOL,CCc1ccccc1O,1.0,9.0,0.1,0.9
C811PAN,O=N(=O)OOC(=O)CC1CC(C(=O)O)C1(C)C,4.0,12.0,0.25,0.75
ALLYLOH,OCC=C,1.0,5.0,0.16666666666666666,0.8333333333333334
C87OOH,OOCC(=O)C(C=O)C(C)(C)C=O,4.0,11.0,0.26666666666666666,0.7333333333333333
C729PAN,O=CCC(CC(=O)OO[N+](=O)[O-])C(=C)C,3.0,11.0,0.21428571428571427,0.7857142857142857
C141CO3H,OOC(=O)CCC(=C)C1CC(C)(C)C1CCC(=O)C,3.0,23.0,0.11538461538461539,0.8846153846153846
NLMKAO2,[O]OC1(C)CCC(CC1O[N+](=O)[O-])C(=O)C,3.0,14.0,0.17647058823529413,0.8235294117647058
C926O2,O=CCC(O[O])(CCC(=O)C)C(=O)C,4.0,13.0,0.23529411764705882,0.7647058823529411
CHCL2CHOH,OCC(Cl)Cl,1.0,3.0,0.25,0.75
OETLMUCO2H,O=CC=CC1(C)OC1(CC)C(=O)O,5.0,11.0,0.3125,0.6875
EBENZO2,[O]Oc1ccccc1CC,1.0,9.0,0.1,0.9
C719NO3,O=C1CC(O)C(C)(ON(=O)=O)C(O)C1,4.0,9.0,0.3076923076923077,0.6923076923076923
C127NO3,OCCC(=C)C1(O[N+](=O)[O-])CC(C)(C)C1CC=O,3.0,18.0,0.14285714285714285,0.8571428571428571
C4NO32M1O,CCC(C)(C[O])ON(=O)=O,2.0,10.0,0.16666666666666666,0.8333333333333334
IPROPOLO2H,OOCC(C)O,2.0,6.0,0.25,0.75
ETOC2O2,CCOCCO[O],3.0,9.0,0.25,0.75
EPXEKTCO3,CCC1(OC1C(=O)C)C(=O)O[O],5.0,9.0,0.35714285714285715,0.6428571428571429
HMACROH,OCC(O)(CO)C=O,4.0,5.0,0.4444444444444444,0.5555555555555556
EIPKBO,[O]CC(C)C(=O)CC,2.0,11.0,0.15384615384615385,0.8461538461538461
NC8H18,CCCCCCCC,0.0,18.0,0.0,1.0
H1C23C4CHO,OCC(=O)C(=O)CC=O,4.0,5.0,0.4444444444444444,0.5555555555555556
LMKAOOH,OOC1(C)CCC(CC1O)C(=O)C,3.0,14.0,0.17647058823529413,0.8235294117647058
C929O2,[O]OC(CC(=O)C)C(=O)C(C)(C)CO,4.0,14.0,0.2222222222222222,0.7777777777777778
C6H5CH2CHO,O=CCc1ccccc1,1.0,8.0,0.1111111111111111,0.8888888888888888
PROPGLY,OCC(C)O,2.0,6.0,0.25,0.75
CO2C54CO3,CC(CC(=O)C)C(=O)O[O],3.0,9.0,0.25,0.75
C6H5C2H4O,[O]CCc1ccccc1,1.0,9.0,0.1,0.9
IEC2OOH,OCC(=O)C(C)(OO)C=O,4.0,6.0,0.4,0.6
TM135BZOL,Cc1cc(C)c(O)c(C)c1,1.0,11.0,0.08333333333333333,0.9166666666666666
OXYLOH,OCc1ccccc1C,1.0,9.0,0.1,0.9
OXYLOL,Cc1c(C)cccc1O,1.0,9.0,0.1,0.9
SBUACAOH,CCC(C)(O)OC(=O)C,4.0,11.0,0.26666666666666666,0.7333333333333333
C524OH,OCC(=C)C(O)CO,3.0,7.0,0.3,0.7
OXYFUONE,CC1=C(C)C(=O)OC1,3.0,8.0,0.2727272727272727,0.7272727272727273
CO23C4CO3,[O]OC(=O)CC(=O)C(=O)C,4.0,5.0,0.4444444444444444,0.5555555555555556
C524O2,OCC(=C)C(CO)O[O],3.0,7.0,0.3,0.7
SC4H9O,CCC(C)[O],1.0,9.0,0.1,0.9
OXYLO2,[O]OCc1ccccc1C,1.0,9.0,0.1,0.9
CCL2OHCOCL,ClC(=O)C(O)(Cl)Cl,2.0,0.0,1.0,0.0
C72O,CCC(=O)CC([O])C(C)O,3.0,12.0,0.2,0.8
C621OOH,OCC(OO)CC(=O)C(=O)CO,5.0,7.0,0.4166666666666667,0.5833333333333334
TM124BO2,[O]OCc1ccc(C)c(C)c1,1.0,11.0,0.08333333333333333,0.9166666666666666
CO1M22CO2H,O=CC(C)(C)C(=O)O,3.0,7.0,0.3,0.7
LMKBOOH,OOC1CC(CCC1(C)O)C(=O)C,3.0,14.0,0.17647058823529413,0.8235294117647058
C96OOH,OOCC1CC(C(=O)C)C1(C)C,2.0,15.0,0.11764705882352941,0.8823529411764706
HOCHOCOOH,OCC(OO)C=O,3.0,4.0,0.42857142857142855,0.5714285714285714
PETLMUCPAN,CCC(=O)C=CC1(C)OC1C(=O)OON(=O)=O,5.0,11.0,0.3125,0.6875
HEX3ONAO,CCC(=O)CC(C)[O],2.0,11.0,0.15384615384615385,0.8461538461538461
C617O,[O]CC(=O)C(C)(C)C=O,3.0,9.0,0.25,0.75
CHOC3COOOH,OOC(=O)CC(=O)CC=O,4.0,5.0,0.4444444444444444,0.5555555555555556
PACLOOA,[O-][O+]=C(COO)C,2.0,5.0,0.2857142857142857,0.7142857142857143
C52OH3OOH,CCC(OO)C(C)O,2.0,10.0,0.16666666666666666,0.8333333333333334
MMALNBCO2H,O=CC(O)C(C)(ON(=O)=O)C(=O)O,5.0,5.0,0.5,0.5
C94O,CCCC(=O)C([O])CC(=O)CC,3.0,15.0,0.16666666666666666,0.8333333333333334
NMBOBCO,O=CC(ON(=O)=O)C(C)(C)O,3.0,8.0,0.2727272727272727,0.7272727272727273
C56NO3,OCC(C)C(O)ON(=O)=O,3.0,7.0,0.3,0.7
DNOETOLOOH,CCC12OOC(N(=O)=O)(C2O)C(O)(OO)C(=C1C)N(=O)=O,5.0,9.0,0.35714285714285715,0.6428571428571429
MACROHO,CC(O)(C[O])C=O,3.0,6.0,0.3333333333333333,0.6666666666666666
EBZBPERNO3,CCC12C=CC(ON(=O)=O)C(OO1)C2O,4.0,10.0,0.2857142857142857,0.7142857142857143
C620OOH,O=CCC(=O)C(OO)CC=O,4.0,7.0,0.36363636363636365,0.6363636363636364
NBUTOLBOOH,OCCC(C)OO,2.0,8.0,0.2,0.8
MIPKBOOH,CC(COO)C(=O)C,2.0,9.0,0.18181818181818182,0.8181818181818182
C624CO3H,OCCC(C(=C)C)C(=O)OO,3.0,10.0,0.23076923076923078,0.7692307692307693
C97OOH,OCC1CC(OO)(C(=O)C)C1(C)C,3.0,14.0,0.17647058823529413,0.8235294117647058
PBZQOOH,OOC1C(=O)C=CC(=O)C1O,4.0,4.0,0.5,0.5
NPPRBQO,CCCC1=CC(=O)C([O])C(ON(=O)=O)C1=O,4.0,10.0,0.2857142857142857,0.7142857142857143
CH3COCH2O2,CC(=O)CO[O],2.0,5.0,0.2857142857142857,0.7142857142857143
DM124OOH,OOc1ccc(C)c(C)c1,1.0,9.0,0.1,0.9
ISOPAOH,OCC=C(C)CO,2.0,8.0,0.2,0.8
C5DCO2CO3H,OOC(=O)C=C(C)C(=O)C=O,4.0,5.0,0.4444444444444444,0.5555555555555556
PAN,CC(=O)OON(=O)=O,2.0,3.0,0.4,0.6
C77OH,CC(=O)CC(O)C(C)(C)O,3.0,12.0,0.2,0.8
OXNCATECH,Cc1cc(N(=O)=O)c(O)c(O)c1C,2.0,7.0,0.2222222222222222,0.7777777777777778
OXNCATECO,CC1=C(O)C([O])(O)C2(OOC1(C)C2O)N(=O)=O,6.0,7.0,0.46153846153846156,0.5384615384615384
DETLMUO3H,CCC(=O)C=C(C)C1OC1(CC)C(=O)OO,5.0,15.0,0.25,0.75
C77O2,[O]OC(CC(=O)C)C(C)(C)O,3.0,12.0,0.2,0.8
EBZMUCCO,CCC(=O)C(=O)C(O)C1OC1C=O,6.0,9.0,0.4,0.6
MPRKBOOH,CC(CC(=O)C)OO,2.0,9.0,0.18181818181818182,0.8181818181818182
BCKSOZ,O=C1CCC2OOC(C)(CCC3C1CC3(C)C)O2,5.0,22.0,0.18518518518518517,0.8148148148148148
PCATECOOA,[O-][O+]=C(O)C(=C/C=C/C(=O)O)CCC,4.0,10.0,0.2857142857142857,0.7142857142857143
LIMAO2,[O]OC1(C)CCC(CC1O)C(=C)C,2.0,16.0,0.1111111111111111,0.8888888888888888
C733OH,CC(=O)C(CCO)C(O)C=O,4.0,10.0,0.2857142857142857,0.7142857142857143
CCL3CH2OH,OCC(Cl)(Cl)Cl,1.0,2.0,0.3333333333333333,0.6666666666666666
