name,smiles,PeroxyAlkyl(RO2),PeroxyAcid(RCO3),Alcoxy(RO),Alcohol(C-H),Unsaturated(>C=C<),Aldehyde(-CHO),Carbonyl(>C=O),Nitrate(-ONO2),HydroPeroxide(-OOH),PAN(-C(O)OONO2)
M3HEXBOH,CCCC(C)(O)CC,0,0,0,3,0,0,0,0,0,0
M3HEXBO2,CCCC(C)(CC)O[O],1,0,0,2,0,0,0,0,0,0
METLMUCO3H,CCC(=O)C=CC1OC1(C)C(=O)OO,0,0,0,2,1,0,2,0,0,0
ACOMCOMOOH,OOCC(=O)CC(=O)OC(=O)C,0,0,0,1,0,1,3,0,1,0
CHOC3COO2,[O]OCC(=O)CC=O,1,0,0,0,0,0,1,0,0,0
TM124BCHO,O=Cc1ccc(C)c(C)c1,0,0,0,2,0,0,0,0,0,0
HO3C96O2,CCCC(O[O])CCC(O)CC,1,0,0,2,0,0,0,0,0,0
HO3C3CO3H,CCC(O)C(=O)OO,0,0,0,1,0,0,1,0,0,0
C56OH,OCC(O)C(C)CO,0,0,0,1,0,0,0,0,0,0
DETLOBPROH,CCC1=CC2(CC)OOC(C)(C1=O)C2O,0,0,0,2,0,0,1,0,0,0
M2PROPAL2O,O=CC(C)(C)[O],0,0,1,2,0,0,0,0,0,0
NC4EDCO2H,O=CC(=C(CC)C(=O)O)N(=O)=O,0,0,0,0,0,0,1,0,0,0
MBOACO,OCC(=O)C(C)(C)O,0,0,0,2,0,0,1,0,0,0
C6CYTONO,O=C1CC(=O)C([O])C(=O)C1,0,0,1,0,0,0,2,0,0,0
BOXCOCHOO2,CCCC(OC(=O)C=O)O[O],1,0,0,1,0,0,1,0,0,0
C142O,OCCC(=C)C1([O])CC(C)(C)C1CCC(=O)C,0,0,1,3,0,1,1,0,0,0
MXYQO,O=C1C=C(C)C(=O)C(C)([O])C1O,0,0,1,2,1,0,1,0,0,0
MIBKAOHAO2,[O]OC(C(=O)C)C(C)(C)O,1,0,0,2,0,0,1,0,0,0
HMVKBCO2H,OCC(C(=O)C)C(=O)O,0,0,0,0,0,0,2,0,0,0
PXYLPAN,Cc1ccc(cc1)C(=O)OON(=O)=O,0,0,0,1,0,0,1,1,0,1
C51NO32OOH,CCCC(OO)CON(=O)=O,0,0,0,1,0,0,0,1,1,0
DIET35TOL,CCc1cc(CC)cc(C)c1,0,0,0,2,0,0,0,0,0,0
HC4CO3H,CC(=C)C(C(=O)OO)O,0,0,0,1,0,0,1,0,1,0
C86O2,O=CCC(C(=O)C)C(C)(C)O[O],1,0,0,2,0,0,1,0,0,0
MBOBCO,O=CC(O)C(C)(C)O,0,0,0,2,0,0,0,0,0,0
C8CO2OHPAN,O=CC(O)C(=O)C(=CC(=O)OON(=O)=O)C(C)C,0,0,0,2,0,0,3,1,0,0
CHOC2PAN,O=CCCC(=O)OON(=O)=O,0,0,0,0,0,0,1,1,0,1
PBZBPERNO3,CCCC12C=CC(ON(=O)=O)C(OO1)C2O,0,0,0,1,1,0,1,1,0,0
DM35EBOH,Cc1cc(C)cc(c1)C(C)O,0,0,0,3,0,0,0,0,0,0
C53OH,OCC(=O)C(C)CO,0,0,0,1,0,0,1,0,0,0
HCOCOHCO3H,OC(C=O)C(=O)OO,0,0,0,0,0,0,1,0,0,0
BOXPOLAOOH,CCCC(OO)OCC(C)O,0,0,0,2,0,0,0,0,1,0
NBUTDBO2,[O]OCC=CCON(=O)=O,1,0,0,0,1,0,0,1,0,0
NIPRBQOOH,OOC1C(=O)C=C(C(C)C)C(=O)C1ON(=O)=O,0,0,0,1,1,0,2,1,1,0
C5CO2DCO3H,O=CC(=O)C=C(C)C(=O)OO,0,0,0,1,1,0,2,0,0,0
CISOPCO2,[O]OC/C(=C\CO)/C,1,0,0,1,0,0,0,0,0,0
HO34CO6C8,CCC(=O)CC(O)C(O)CC,0,0,0,2,0,0,1,0,0,0
OXYMUCCO,O=CC(=O)C(O)C1(C)OC1(C)C=O,0,0,0,2,0,0,1,0,0,0
NTMB2FUOOH,OOC1(C)C(=O)OC(C)C1(C)ON(=O)=O,0,0,0,3,0,0,1,1,1,0
DNOETOLO2,CCC12OOC(N(=O)=O)(C2O)C(O)(O[O])C(=C1C)N(=O)=O,1,0,0,1,0,0,0,0,0,0
M3CO5C6,CCC(C)CC(=O)C,0,0,0,3,0,1,1,0,0,0
C9PAN1,CCCCCCC(O)CC(=O)OON(=O)=O,0,0,0,1,0,0,1,1,0,1
NC4CO2H,O=N(=O)OCC(=CC(=O)O)C,0,0,0,1,0,0,1,0,0,0
C9PAN2,O=N(=O)OOC(=O)C1CC(C(=O)C)C1(C)C,0,0,0,2,0,0,2,0,0,0
MXCATEC1O,Cc1cc(C)c([O])c(O)c1,0,0,1,2,0,0,0,0,0,0
C6OH5OOH,CCCCC(CO)OO,0,0,0,1,0,0,0,0,0,0
PNNCATECO,CCCC12OOC(C(=C(O)C2([O])O)N(=O)=O)C1ON(=O)=O,0,0,1,1,0,0,1,1,0,0
OXYEPOXMUC,O=CC=CC1(C)OC1(C)C=O,0,0,0,2,1,0,0,0,0,0
DNPBNZLO,CCCC12OOC(C=C(N(=O)=O)C2([O])O)(N(=O)=O)C1O,0,0,1,1,1,0,2,0,0,0
BOXCOCOMO2,CCCC(O[O])OC(=O)C(=O)C,1,0,0,2,0,1,2,0,0,0
CYC613DION,O=C1CCCC(=O)C1,0,0,0,0,0,0,1,0,0,0
TM123MUCO2,[O]OC(C(O)C(=O)C)C1OC1(C)C(=O)C,1,0,0,2,0,1,2,0,0,0
HOCO3C5OOH,OCCC(=O)C(C)OO,0,0,0,1,0,0,1,0,0,0
C4CODIAL,O=CCC(=O)C=O,0,0,0,0,0,0,1,0,0,0
IC3H7NO3,CC(C)ON(=O)=O,0,0,0,2,0,0,0,1,0,0
NDNMXYLOOH,OOC1(O)C(=C(N(=O)=O)C2(OOC1(C)C2ON(=O)=O)N(=O)=O)C,0,0,0,2,0,0,2,1,1,0
INCNCO3H,OOC(=O)C(ON(=O)=O)C(C)(O)CON(=O)=O,0,0,0,1,0,0,2,2,1,0
C7MCO3OHO,O=CC(=O)C(O)C([O])C(=O)C(C)C,0,0,1,2,0,0,2,0,0,0
T123CTCOOA,[O-][O+]=C(O)C(=C(C)C(=CC(=O)O)C)C,0,0,0,2,0,0,1,0,0,0
TM123MUCOH,OC(C(=O)C)C(O)C1OC1(C)C(=O)C,0,0,0,2,0,1,2,0,0,0
C5NO3O4OOH,OOC(C)C(=O)C(C)ON(=O)=O,0,0,0,2,0,0,1,1,1,0
BCSOZO,OCC1([O])CCC2OOC(C)(CCC3C1CC3(C)C)O2,0,0,1,2,0,0,0,0,0,0
H2C3OCOOH,OOCOCC(C)O,0,0,0,1,0,0,0,0,1,0
HEX3ONCO,CCCC(=O)C(C)[O],0,0,1,2,0,0,1,0,0,0
C615O,O=CC([O])C(C)(C)C=O,0,0,1,2,0,0,0,0,0,0
CO356C10,CCCCC(=O)C(=O)CC(=O)CC,0,0,0,2,0,0,3,0,0,0
CO356C11,CCCCCC(=O)C(=O)CC(=O)CC,0,0,0,2,0,0,3,0,0,0
CO356C12,CCCCCCC(=O)C(=O)CC(=O)CC,0,0,0,2,0,0,3,0,0,0
TDICLETH,Cl/C=C/Cl,0,0,0,1,1,0,0,0,0,0
MC6OTRIKET,CC(OC(=O)C(=O)C)C(=O)C,0,0,0,2,0,1,3,0,0,0
CHOMOHPAN,O=CC(C)(O)C(=O)OON(=O)=O,0,0,0,1,0,0,1,1,0,1
CLCOCCL2O2,[O]OC(Cl)(Cl)C(=O)Cl,1,0,0,0,0,0,1,0,0,0
EGLYOOD,[O-][O+]=CC(=O)CC,0,0,0,1,0,0,1,0,0,0
BCALCOOH,OOC(C=O)CC(=C)C1CC(C)(C)C1CCC(=O)C,0,0,0,3,0,1,2,0,1,0
C6NO3CO5O,CC([O])CC(=O)C(C)ON(=O)=O,0,0,1,2,0,0,1,1,0,0
METLMUCO2H,CC1(OC1C=CC(=O)CC)C(=O)O,0,0,0,1,1,0,2,0,0,0
BCALBO2,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)CO[O],1,0,0,2,0,0,1,0,0,0
HOCO3C4OOH,OCCC(=O)COO,0,0,0,0,0,0,1,0,1,0
C92O,CCCCC(O)CC(=O)C(C)[O],0,0,1,2,0,0,1,0,0,0
MVKOHAOH,OCC(=O)C(O)CO,0,0,0,0,0,0,1,0,0,0
C7CO2OCO3H,OOC(=O)C(=CC(=O)C(O)C(=O)C)C,0,0,0,1,0,0,3,0,1,0
C4M2ALOHNO3,O=CC(O)C(C)(C=O)ON(=O)=O,0,0,0,1,0,0,1,1,0,0
C732PAN,OC(=O)CCC(CC(=O)OO[N+](=O)[O-])C(=O)C,0,0,0,1,0,1,3,0,0,1
CO2C4GLYOX,O=CC(=O)CCC(=O)C,0,0,0,1,0,1,2,0,0,0
DIEK,CCC(=O)CC,0,0,0,2,0,0,1,0,0,0
BCALBOH,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)CO,0,0,0,2,0,0,1,0,0,0
ETBECOOH,OOCCOC(C)(C)C,0,0,0,3,0,0,0,0,1,0
BCALBOC,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)OC,0,0,0,3,0,0,1,0,0,0
TM135BP2OH,CC1=CC2(C)OOC(C)(C1O)C2O,0,0,0,3,0,0,0,0,0,0
MXYOHNO2O,O=N(=O)C12OOC(C)(C=C(C)C2([O])O)C1O,0,0,1,2,1,0,1,0,0,0
INANCO3,[O]OC(=O)C(C)(ON(=O)=O)C(O)CON(=O)=O,1,0,0,1,0,0,2,2,0,0
C106OH,O=CCC(=O)CC(C(=O)C)C(C)(C)O,0,0,0,2,0,0,2,0,0,0
C813O2,OCC(CC(=O)C(=O)O)C(C)(C)O[O],1,0,0,2,0,0,1,0,0,0
HPC52CO3H,OOCC(C(C(=O)OO)O)(OO)C,0,0,0,1,0,0,1,0,2,0
MXYMUCCO,O=CC1(C)OC1C(O)C(=O)C(=O)C,0,0,0,2,0,1,2,0,0,0
CO25C73O,CCC(=O)CC([O])C(=O)C,0,0,1,2,0,1,2,0,0,0
HM2C43CO3,OCC(C)C(C)C(=O)O[O],1,1,0,2,0,0,1,0,0,0
C126CO3,O=CCC1C(CC1(C)C)C(=C)CCC(=O)O[O],1,1,0,1,0,0,1,0,0,0
EIPK,CCC(=O)C(C)C,0,0,0,3,0,0,1,0,0,0
MACR,CC(=C)C=O,0,0,0,1,0,0,0,0,0,0
PRCATC1OOH,CCCc1cccc(O)c1OO,0,0,0,1,0,0,0,0,0,0
MACRNCO3H,OOC(=O)C(C)(CO)ON(=O)=O,0,0,0,1,0,0,1,1,1,0
CCL3CH2OOH,OOCC(Cl)(Cl)Cl,0,0,0,0,0,0,0,0,1,0
NC2OOA,[O-][O+]=CCON(=O)=O,0,0,0,0,0,0,0,1,0,0
IBUTOL,OCC(C)C,0,0,0,2,0,0,0,0,0,0
NBUACETBO,CCC([O])COC(=O)C,0,0,1,2,0,1,1,0,0,0
BCOOA,O=CCCC(=C)C1CC(C)(C)C1CCC(=[O+][O-])C,0,0,0,3,0,0,0,0,0,0
BCOOB,[O-][O+]=CCCC(=C)C1CC(C)(C)C1CCC(=O)C,0,0,0,3,0,1,1,0,0,0
C106O2,O=CCC(=O)CC(C(=O)C)C(C)(C)O[O],1,0,0,2,0,0,2,0,0,0
CO3C4NO3,CCC(=O)CON(=O)=O,0,0,0,1,0,0,1,1,0,0
CH3CHCLOH,CC(O)Cl,0,0,0,1,0,0,0,0,0,0
C617OOH,OOCC(=O)C(C)(C)C=O,0,0,0,2,0,0,1,0,1,0
CLCOCLMEO2,CC(Cl)(O[O])C(=O)Cl,1,0,0,1,0,0,1,0,0,0
HO1MC5OOH,OCC(C)CC(C)OO,0,0,0,2,0,0,0,0,0,0
HO13C4O,OCCC(O)C[O],0,0,0,0,0,0,0,0,0,0
MO2EOLBO2,OCCOCO[O],1,0,0,0,0,0,0,0,0,0
IPROPOL,CC(C)O,0,0,0,2,0,0,0,0,0,0
C715CO2O,O=CC([O])C=CC(=O)CC,0,0,1,1,1,0,1,0,0,0
MET1OOH,CCc1cc(C)ccc1OO,0,0,0,2,0,0,0,0,0,0
M2BUOL2O,CCC(C)([O])CO,0,0,1,2,0,0,0,0,0,0
MEKAOOH,OOCCC(=O)C,0,0,0,1,0,1,1,0,1,0
C1010NO3,O=CCCC(=C)C(=O)CC(C)(C)O[N+](=O)[O-],0,0,0,2,0,0,1,0,0,0
NOPINANO3,O=N(=O)OC1CC(=O)C2CC1C2(C)C,0,0,0,2,0,0,1,0,0,0
HONO,nan,0,0,0,0,0,0,0,0,0,0
MAE,CC1(CO1)C(=O)O,0,0,0,1,0,0,1,0,0,0
C1012NO3,O=CCC(C)(C)C(CCC(=O)C)O[N+](=O)[O-],0,0,0,2,0,0,1,0,0,0
HO3C76O,CCC(O)CCC(C)[O],0,0,1,2,0,0,0,0,0,0
HOEMPHNO2,CCc1cc(C)c(N(=O)=O)c(O)c1,0,0,0,2,0,0,1,0,0,0
DNCRESOOH,OOC1(O)C(=CC2(OOC1(C)C2O)N(=O)=O)N(=O)=O,0,0,0,1,0,0,0,0,1,0
APINBOOH,OOC1CC2CC(C1(C)O)C2(C)C,0,0,0,3,0,0,0,0,1,0
C133OOH,OCCC(=O)C(=O)CC(C)(C)C(OO)CCC(=O)C,0,0,0,3,0,1,3,0,1,0
OETLMUCNO3,O=CC(ON(=O)=O)C(O)C1(C)OC1(CC)C=O,0,0,0,1,0,0,1,1,0,0
C42CO3H,OCC(C)C(O)C(=O)OO,0,0,0,1,0,0,1,0,0,0
C2OHOCOOH,OCC(O)C(=O)OO,0,0,0,0,0,0,1,0,0,0
TMBPAN,O=N(=O)OOC(=O)c1cc(C)cc(C)c1,0,0,0,2,0,0,1,0,0,0
C58NO3,O=CC(O)C(C)(CO)ON(=O)=O,0,0,0,1,0,0,0,1,0,0
BCALOOH,O=CCCC(CO)(OO)C1CC(C)(C)C1CCC(=O)C,0,0,0,3,0,1,1,0,0,0
BUT2CO2H,CC(CC)C(=O)O,0,0,0,1,0,0,1,0,0,0
BCALOOA,O=CCCC(=[O+][O-])C1CC(C)(C)C1CCC(=O)C,0,0,0,3,0,1,1,0,0,0
C1010O2,O=CCCC(=C)C(=O)CC(C)(C)O[O],1,0,0,2,0,0,1,0,0,0
C126PAN,O=CCC1C(CC1(C)C)C(=C)CCC(=O)OO[N+](=O)[O-],0,0,0,1,0,0,1,0,0,1
C810OOH,O=CCC(CC=O)C(C)(C)OO,0,0,0,2,0,0,1,0,0,0
C622OH,OCC(CO)C(=C)C,0,0,0,1,0,0,0,0,0,0
C527OOH,OOC(C(OO)(CO)C)C=O,0,0,0,0,0,0,0,0,2,0
CONM2CO3H,OOC(=O)C(C)(C=O)ON(=O)=O,0,0,0,1,0,0,2,1,1,0
NC4H9CHOOA,[O-][O+]=CCCCC,0,0,0,1,0,0,0,0,0,0
C3COCCO3H,CCCC(=O)CC(=O)OO,0,0,0,1,0,0,2,0,0,0
HOCH2CHO,OCC=O,0,0,0,0,0,0,0,0,0,0
C1010OH,O=CCCC(=C)C(=O)CC(C)(C)O,0,0,0,2,0,0,1,0,0,0
HO24C5O2,[O]OCC(O)CC(C)O,1,0,0,1,0,0,0,0,0,0
C1H4C5CO2H,O=CCCC(O)CC(=O)O,0,0,0,0,0,0,1,0,0,0
ETHACETO2,CC(OC(=O)C)O[O],1,0,0,1,0,0,1,0,0,0
IEPOXC,CC1(CO1)C(O)CO,0,0,0,1,0,0,0,0,0,0
IEPOXB,OCC1OC1(C)CO,0,0,0,1,0,0,0,0,0,0
IEPOXA,CC(O)(CO)C1CO1,0,0,0,1,0,0,0,0,0,0
APINCOOH,OOC(C)(C)C1CC=C(C)C(O)C1,0,0,0,3,1,0,0,0,1,0
IPRACOOH,OOC(C)(C)OC(=O)C,0,0,0,3,0,1,1,0,1,0
CO2N3CO3,[O]OC(=O)C(ON(=O)=O)C(=O)C,1,0,0,1,0,1,3,1,0,0
C713OH,CC(=O)CC(C)(O)C(=O)C,0,0,0,3,0,1,2,0,0,0
C512OH,OCCC(=O)CC=O,0,0,0,0,0,0,1,0,0,0
C7M15CO2O,O=CC([O])C=CC(=O)C(C)C,0,0,1,2,1,0,1,0,0,0
IPRACBPAN,O=N(=O)OOC(=O)C(C)OC(=O)C,0,0,0,2,0,1,2,0,0,0
MACO2H,CC(=C)C(=O)O,0,0,0,1,0,0,1,0,0,0
C122O,CCCCCCCC(O)CC(=O)C(C)[O],0,0,1,2,0,0,1,0,0,0
NC91CO3,[O]OC(=O)C1(CCC2CC1C2(C)C)ON(=O)=O,1,0,0,1,0,0,1,1,0,0
M2PEBO,CC(C)CC(C)[O],0,0,1,3,0,0,0,0,0,0
CO123C5CHO,O=CCCC(=O)C(=O)C=O,0,0,0,0,0,0,2,0,0,0
C730O,OCCC(C=O)C(C)([O])CO,0,0,1,1,0,0,1,0,0,0
HO2C4CO2H,CC(O)CCC(=O)O,0,0,0,1,0,0,1,0,0,0
TMB1FUOOH,OOC1(C)C(C)OC(=O)C1O,0,0,0,2,0,0,1,0,1,0
IPRCHOO,[O-][O+]CC(C)C,1,0,0,2,0,0,0,0,0,0
C512CO2H,O=CCC(=O)CCC(=O)O,0,0,0,0,0,0,2,0,0,0
CH2OHCL2O2,OCC(Cl)(Cl)O[O],1,0,0,0,0,0,0,0,0,0
CO23C54O,CC([O])C(=O)C(=O)C,0,0,1,2,0,1,2,0,0,0
HM2C43NO3,OCC(C)C(C)ON(=O)=O,0,0,0,2,0,0,0,1,0,0
INB1NACHO,O=CC(ON(=O)=O)C(C)(CO)ON(=O)=O,0,0,0,1,0,0,1,2,0,0
M33C4O,CCC(C)(C)C[O],0,0,0,3,0,0,0,0,0,0
ETHACETOH,CC(O)OC(=O)C,0,0,0,2,0,1,1,0,0,0
PRCOOETOH,CCCC(=O)OCCO,0,0,0,1,0,0,1,0,0,0
ISOPANO3,OCC(=CCON(=O)=O)C,0,0,0,1,0,0,1,1,0,0
PBZQO2,[O]OC1C(=O)C=CC(=O)C1O,1,0,0,0,1,0,2,0,0,0
BOXPROLAO,CCCC([O])OCC(C)O,0,0,1,2,0,0,0,0,0,0
EPXDLPAN,O=CC1OC1C(=O)OON(=O)=O,0,0,0,0,0,0,1,1,0,1
C921O,OCC(=O)C1([O])CC(CO)C1(C)C,0,0,1,2,0,0,1,0,0,0
PBNZOHNO2,CCCc1cccc(N(=O)=O)c1O,0,0,0,1,0,0,1,0,0,0
C23O3MCOOH,CC(OC(=O)C(=O)C)OO,0,0,0,1,0,0,2,0,0,0
C923PAN,CC(=O)CCC(CC(=O)OO[N+](=O)[O-])C(=C)C,0,0,0,2,0,0,2,0,0,1
C64OH5O,CCCC(O)C(C)[O],0,0,1,2,0,0,0,0,0,0
C88CO2H,OC(=O)C1C(=O)CCC(=O)C1(C)C,0,0,0,2,0,0,3,0,0,0
CCL3CO3,[O]OC(=O)C(Cl)(Cl)Cl,1,0,0,0,0,0,1,0,0,0
C6OTRIKET,CC(=O)COC(=O)C(=O)C,0,0,0,2,0,1,3,0,0,0
C928CO3,[O]OC(=O)CC(C)(C)C(=O)CCC(=O)C,1,0,0,3,0,1,3,0,0,0
HO3C86O,CCC(O)CCC([O])CC,0,0,1,2,0,0,0,0,0,0
HM33C3CO2H,OCCC(C)(C)C(=O)O,0,0,0,2,0,0,1,0,0,0
HO1C6O,OCCCC([O])CC,0,0,1,1,0,0,0,0,0,0
NOXYOL1OOH,OOc1c(ccc(C)c1C)N(=O)=O,0,0,0,1,0,0,0,0,1,0
NPTLQO2,[O]OC1C(=O)C=C(C)C(=O)C1ON(=O)=O,1,0,0,1,1,0,2,1,0,0
NC4H9CHOO,[O-][O+]=CCCCC,0,0,0,1,0,0,0,0,0,0
NDEMPHOLO,CCC12OOC(CC)(C2ON(=O)=O)C(O)([O])C(=C1)C,0,0,1,2,0,0,1,1,0,0
OXYBIPERO2,[O]OC1(C)C=CC2OOC1(C)C2O,1,0,0,2,1,0,0,0,0,0
NPXYOLOOH,OOC1(O)C=C(C)C2OOC1(C)C2ON(=O)=O,0,0,0,2,1,0,0,1,1,0
PHCOOH,OC(=O)c1ccccc1,0,0,0,0,0,0,1,0,0,0
C112OOH,CCCCCCC(O)CC(=O)C(C)OO,0,0,0,2,0,0,1,0,0,0
C5NO3COAO2,[O]OC(C)CC(=O)CON(=O)=O,1,0,0,1,0,0,1,1,0,0
THEX2ENE,CCC\C=C\C,0,0,0,2,1,0,0,0,0,0
C6DCARBBO,CCC(=O)C=CC(=O)[O],0,0,0,1,1,0,2,0,0,0
H1C23C4PAN,OCC(=O)C(=O)CC(=O)OON(=O)=O,0,0,0,0,0,0,3,1,0,1
NBUACBNO3,CCC(COC(=O)C)ON(=O)=O,0,0,0,1,0,0,1,1,0,0
IBUTALOH,O=CC(C)(C)O,0,0,0,2,0,0,0,0,0,0
IPBZMUCPAN,O=N(=O)OOC(=O)C1OC1C=CC(=O)C(C)C,0,0,0,2,1,0,2,0,0,0
CH3CO3H,CC(=O)OO,0,0,0,1,0,0,1,0,0,0
PBZQOH,O=C1C=CC(=O)C(O)C1O,0,0,0,0,1,0,1,0,0,0
INANO3,OCC(C)(ON(=O)=O)C(O)CON(=O)=O,0,0,0,1,0,0,1,2,0,0
C610OH,OCC(O)C(C)C(=O)C,0,0,0,2,0,1,1,0,0,0
M23C43O,CC(C)C(C)(C)[O],0,0,1,4,0,0,0,0,0,0
DMEBMUCO3,CCC(=O)C=C(C)C1OC1(C)C(=O)O[O],1,1,0,3,1,0,2,0,0,0
DMEBMUCO2,CCC(=O)C(O)C(C)(O[O])C1OC1(C)C=O,1,0,0,3,0,0,1,0,0,0
APINBOO,[O-][O+]=CCC1CC(C(=O)C)C1(C)C,0,0,0,2,0,0,1,0,0,0
M2BU2OLOOH,OOC(C)C(C)(C)O,0,0,0,3,0,0,0,0,1,0
CO235C6O2,CC(=O)C(=O)CC(=O)CO[O],1,0,0,1,0,0,3,0,0,0
ETOLOOH,OOC(C)c1ccccc1C,0,0,0,2,0,0,0,0,1,0
IPBENZO,CC(C)c1ccccc1[O],0,0,0,2,0,0,0,0,0,0
PXYMUCCO,O=CC1OC1(C)C(O)C(=O)C(=O)C,0,0,0,2,0,1,2,0,0,0
TM135OBPOH,CC1=CC2(C)OOC(C)(C1=O)C2O,0,0,0,3,0,0,1,0,0,0
M2HEXBOOH,CCCCC(C)(C)OO,0,0,0,3,0,0,0,0,0,0
LMKBCO,CC(=O)C1CCC(C)(O)C(=O)C1,0,0,0,2,0,0,2,0,0,0
C520O2,OCC(O[O])(C=O)C(=O)C,1,0,0,1,0,1,2,0,0,0
APINBO2,[O]OC1CC2CC(C1(C)O)C2(C)C,1,0,0,3,0,0,0,0,0,0
C521O,OCCC(=O)C(=O)C[O],0,0,0,0,0,0,2,0,0,0
C7CO2M5O2,[O]OC(C)(C=CC(=O)C)C(=O)C,1,0,0,2,1,1,2,0,0,0
MPRNO3CO2H,O=N(=O)OC(C)(C)C(=O)O,0,0,0,2,0,0,1,0,0,0
C4OHCHO,CCCC(O)C=O,0,0,0,1,0,0,0,0,0,0
C610O2,OCC(O[O])C(C)C(=O)C,1,0,0,2,0,1,1,0,0,0
C141NO3,CC(=O)CCC1C(CC1(C)C)C(=C)CCO[N+](=O)[O-],0,0,0,2,0,0,1,0,0,0
T123CATECH,Cc1cc(O)c(O)c(C)c1C,0,0,0,3,0,0,0,0,0,0
PEN2ONE1O,CCCC(=O)C[O],0,0,0,1,0,0,1,0,0,0
APINANO3,O=N(=O)OC1(C)C(O)CC2CC1C2(C)C,0,0,0,3,0,0,0,0,0,0
C515CO,O=CCC(=O)C(=O)C=O,0,0,0,0,0,0,2,0,0,0
HMACRO2,OCC(CO)(O[O])C=O,1,0,0,0,0,0,0,0,0,0
IPCATECHOL,Oc1cccc(C(C)C)c1O,0,0,0,1,0,0,0,0,0,0
PRCOFORM,CCCC(=O)OC=O,0,0,0,1,0,0,1,0,0,0
LMLKACO,O=CCC(CC(=O)C(=O)C)C(=O)C,0,0,0,1,0,1,3,0,0,0
EBENZOL,CCc1ccccc1O,0,0,0,1,0,0,0,0,0,0
C811PAN,O=N(=O)OOC(=O)CC1CC(C(=O)O)C1(C)C,0,0,0,2,0,0,2,0,0,0
ALLYLOH,OCC=C,0,0,0,1,0,0,0,0,0,0
C87OOH,OOCC(=O)C(C=O)C(C)(C)C=O,0,0,0,2,0,0,2,0,1,0
C729PAN,O=CCC(CC(=O)OO[N+](=O)[O-])C(=C)C,0,0,0,1,0,0,1,0,0,1
C141CO3H,OOC(=O)CCC(=C)C1CC(C)(C)C1CCC(=O)C,0,0,0,3,0,1,2,0,1,0
NLMKAO2,[O]OC1(C)CCC(CC1O[N+](=O)[O-])C(=O)C,1,0,0,2,0,1,1,0,0,0
C926O2,O=CCC(O[O])(CCC(=O)C)C(=O)C,1,0,0,1,0,1,2,0,0,0
CHCL2CHOH,OCC(Cl)Cl,0,0,0,0,0,0,0,0,0,0
OETLMUCO2H,O=CC=CC1(C)OC1(CC)C(=O)O,0,0,0,1,1,0,1,0,0,0
EBENZO2,[O]Oc1ccccc1CC,1,0,0,1,0,0,0,0,0,0
C719NO3,O=C1CC(O)C(C)(ON(=O)=O)C(O)C1,0,0,0,1,0,0,1,1,0,0
C127NO3,OCCC(=C)C1(O[N+](=O)[O-])CC(C)(C)C1CC=O,0,0,0,2,0,0,0,0,0,0
C4NO32M1O,CCC(C)(C[O])ON(=O)=O,0,0,0,2,0,0,0,1,0,0
IPROPOLO2H,OOCC(C)O,0,0,0,1,0,0,0,0,1,0
ETOC2O2,CCOCCO[O],1,0,0,1,0,0,0,0,0,0
EPXEKTCO3,CCC1(OC1C(=O)C)C(=O)O[O],1,1,0,1,0,0,2,0,0,0
HMACROH,OCC(O)(CO)C=O,0,0,0,0,0,0,0,0,0,0
EIPKBO,[O]CC(C)C(=O)CC,0,0,0,2,0,0,1,0,0,0
NC8H18,CCCCCCCC,0,0,0,2,0,0,0,0,0,0
H1C23C4CHO,OCC(=O)C(=O)CC=O,0,0,0,0,0,0,2,0,0,0
LMKAOOH,OOC1(C)CCC(CC1O)C(=O)C,0,0,0,2,0,1,1,0,1,0
C929O2,[O]OC(CC(=O)C)C(=O)C(C)(C)CO,1,0,0,2,0,0,2,0,0,0
C6H5CH2CHO,O=CCc1ccccc1,0,0,0,0,0,0,0,0,0,0
PROPGLY,OCC(C)O,0,0,0,1,0,0,0,0,0,0
CO2C54CO3,CC(CC(=O)C)C(=O)O[O],1,1,0,1,0,0,2,0,0,0
C6H5C2H4O,[O]CCc1ccccc1,0,0,0,0,0,0,0,0,0,0
IEC2OOH,OCC(=O)C(C)(OO)C=O,0,0,0,1,0,0,1,0,0,0
TM135BZOL,Cc1cc(C)c(O)c(C)c1,0,0,0,3,0,0,0,0,0,0
OXYLOH,OCc1ccccc1C,0,0,0,1,0,0,0,0,0,0
OXYLOL,Cc1c(C)cccc1O,0,0,0,2,0,0,0,0,0,0
SBUACAOH,CCC(C)(O)OC(=O)C,0,0,0,3,0,1,1,0,0,0
C524OH,OCC(=C)C(O)CO,0,0,0,0,0,0,0,0,0,0
OXYFUONE,CC1=C(C)C(=O)OC1,0,0,0,2,0,0,1,0,0,0
CO23C4CO3,[O]OC(=O)CC(=O)C(=O)C,1,0,0,1,0,1,3,0,0,0
C524O2,OCC(=C)C(CO)O[O],1,0,0,0,0,0,0,0,0,0
SC4H9O,CCC(C)[O],0,0,1,2,0,0,0,0,0,0
OXYLO2,[O]OCc1ccccc1C,1,0,0,1,0,0,0,0,0,0
CCL2OHCOCL,ClC(=O)C(O)(Cl)Cl,0,0,0,1,0,0,1,0,0,0
